SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason,Easting,Northing
1199,"Moseley Wood Gardens (land off), Cookridge  LS16",11.4,"",0,G,Main Urban Area Extension,Greenfield,"Protected Area of Search (PAS) site on existing UDP.  Most of the site falls within North Leeds area, but capacity and area have been split between Aireborough and North Leeds on a pro-rata basis.  The railway is considered to form a strong defensible boundary which would prevent further sprawl.  Capacity limited to 200 due to access constraints (split over two areas).",424481,440361
1221,"Gill Lane, Yeadon  LS19",5.9,"",155,G,Major Settlement Extension,Greenfield,"This site is well contained and related to the urban area, with no Highways objections raised.  The Core Strategy acknowledges that to meet the housing requirement green belt sites will need to be released, and development of this site will be of less harm to green belt purposes than other suggested green belt sites.",420097,440562
1255B,"Shaw Lane (land at), Guiseley and Banksfield Mount, Yeadon",8.9,"",234,G,Major Settlement Extension,Greenfield,"Green Belt site.  Site 1255 has been split into two sections, as the northern section is not considered suitable for development.  By splitting the site in two the southern section relates better to the settlement and a lower capacity puts less pressure on the existing highway network. Single point of access from Banksfield Mount limits site capacity.",420315,442133
1308,"Green Lane (land to the rear of Naylor Jennings Mill) , Yeadon",6,"",179,G,Major Settlement Infill,Brownfield,"Brownfield site within urban area, so residential development acceptable in principle.",420834,440446
1311A,"Coach Road (land to the south of) , Guiseley",1.2,"",38,A,Major Settlement Extension,Greenfield,A comprehensive development along with sites 1180A & 2163A would be appropriate.  Traffic calming in Silverdale Estate would be required.,419242,441218
2038,"Low Mills, Guiseley",7.2,"",144,A,Major Settlement Infill,Mix 30:70,Allocate site for housing.  The site is not in the green belt and is well contained. Flooding and  Highway issues regarding access can be mitigated against as part of the design and layout of the site.,419407,441003
2163A,"Park Road (South of) Sodhall Hill, Guiseley",2.9,"",8,A,Major Settlement Extension,Greenfield,"Green Belt site.  The site has been split in two as the southern section is considered unsuitable for development. A comprehensive development along with sites 1180A & 1311A would be appropriate. Site A (the northern section) has a road frontage and relates well to the urban area, when considered with 1180A and 1311A.   This smaller site (ie site A) will put less pressure on the road network. Traffic calming in Silverdale Estate would be required. Possible location of a school on this site.",418894,441318
3026,"New Birks Farm, Ings Lane, Guiseley",11.3,"",298,A,Major Settlement Extension,Greenfield,"Site relates well to uran area and is contained by adjacent development, incluidng the school to the north west. Development would round off the settlement.  Highways mitigation measures would be required.",418248,442788
3029,"Wills Gill, Guiseley",5.1,"",133,R,Major Settlement Extension,Greenfield,Green Belt site. The site is well connected to the urban area.,419789,442279
3366,"Land at Victoria Avenue, Leeds",3.9,"",102,G,Major Settlement Extension,Greenfield,Green Belt site.  Self contained between existing housing and airport runway.  Development would constitute rounding off of settlement.  Site would need to be accessed from a new roundabout on Victoria Avenu,421790,441405
4019,"Kirkland House, Queensway, Yeadon",0.5,"",17,G,Major Settlement Infill,Brownfield,Brownfield site in urban area.  Residential accptable in principle.,420335,441562
4020,"Hollins Hill and Hawkstone Avenue, Guiseley",3,"",80,A,Major Settlement Extension,Greenfield,Development would form an extension to the existing residential area. A strong defensible boundary will be required to prevent urban sprawl.,418346,441154
4254,"Woodlands Drive, Rawdon",4.9,"",130,NonIO,Major Settlement Extension,Greenfield,Adjacent to residential development despite being set away from the main urban area. Site to be PAS with 4095 and 3331,421877,438443
3329,"Land at Rawdon, Leeds",3.6,"",95,G,Major Settlement Extension,Greenfield,"Green Belt site adjoining the southern boundary of 5145.  The 2 sites together would create a relatively self contained site, notwithstanding the fact that the site does form part of the Green Belt gap between Rawdon and Horsforth.  The site is well contained due to the trees along the eastern boundary, which are protected by a Tree Preservation Order and provide natural screening.  Poterntial for development in the longer term.  Designation as safeguardded land considered most appropriate.",422303,438903
3331,"Land at Rawdon, Leeds",1,"",35,G,Major Settlement Extension,Greenfield,"Green belt site, but well contained and would not constitute sprawl if developed.  Could be developed along with 4095. The sites would need to jointly provide a realignment of Knott Lane to provide a 90 degree approach to the A65. Accessibility by public transport and to facilities is good. Site proposed as safeguarded land as less sequentially preferable to other sites.",422117,438506
4043,"Ings Lane, Guiseley",3.6,"",90,A,Major Settlement Extension,Greenfield,"Site is contained by existing development & the railway line and so relates relatively well to the existing settlement. Sufficient frontage for access, would require footway on frontage and crossing points to footway opposite. Accessibility to public transport poor, other facilities acceptable. Identified as safeguarded land as less sequentially preferable to other sites.",418431,443004
4095,"Land to west of Knott Lane, Rawdon",1.9,"",61,G,Major Settlement Extension,Greenfield,"",422040,438657
5145,Rear of Layton Wood (Layton Croft) Rawdon,1.1,"",35,NonIO,Major Settlement Extension,Greenfield,"Green Belt site adjoining the northern boundary of site 3329. The two sites together would create a relatively contained site, notwithstanding the fact that the site does form part of the Green Belt gap between Rawdon and Horsforth.  Potential for development in the longer term.  Designation as safeguarded land considered most appropriate.",422359,439154
63,"Woodlands Drive - Cragg Wood Nurseries,  Rawdon",1.1,"",33,P,"",Greenfield,Not within settlement hierarchy,420492,438841
1017,"Hawksworth Lane (land at), Hawksworth Nurseries",1,"",31,P,"",Greenfield,Not within settlement hierarchy,416668,441668
1103,"Bradford Road, Guiseley  LS20",0.2,"",7,G,Major Settlement Infill,Mixed,Planning permission inplemented. Site suitable for housing.,418208,442605
1104,"Greenside Farm, Yeadon  LS19",2.2,"",58,A,"",Mixed,Green Belt site. Existing city farm on site. Development of site 1104 in isolation would constitute urban sprawl. Significant public objections.  Proposed conservation area issues.,420272,440229
1148,"Bradford Road (land off), Guiseley",20.5,"",539,R,"",Greenfield,"Green Belt site.  Development of the site would result in a breach of Thorpe Lane, an important boundary preventing sprawl towards Bradford. The Green Belt is necessary to prevent coalescence between settlements of Guiseley and Menston.  The site is attractive and a designated Special Landscape Area.",417776,442413
1180B,"Coach Road (land off), Guiseley LS20",2.7,"",72,R,"",Greenfield,Green Belt site.  The site has been split in two as the southern section is considered unsuitable for development due to Highways concerns and the fact that development would not be well related to the existing settlement pattern.,418970,441156
1186,"Cross Lane (land at), off Carlton Lane, Guiseley LS21",3.4,"",77,P,"",Greenfield,Not within settlement hierarchy,420358,443426
1189,"Bramston Lodge (land at), Carlton, Near Yeadon",2.6,"",59,P,"",Greenfield,Not within settlement hierarchy,421982,442947
1194,"Thorpe Lane (land at) - Hawksworth Lane, Guiseley LS20",2.2,"",58,R,"",Greenfield,Green Belt site.  The site is not considered to be well connected to the urban area.  Thorpe Lane is a main road and acts a strong defensible boundary that should not be breached.  Development of the site would set a precedent for urban sprawl.,417242,441646
1254,"Moor Lane (land at), Guiseley",1.2,"",39,P,"",Greenfield,Not within settlement hierarchy,419377,443079
1255A,"Shaw Lane (land at), Guiseley and Banksfield Mount, Yeadon",6.8,"",180,R,"",Greenfield,"Green Belt site.  Site 1255 has been split into two sections, as the northern section is not considered suitable for development.  Development of site A would constitute urban sprawl and unacceptable pressure on highway capacity.",420328,442306
1256,"Wills Gill (land at), off Carlton Lane, Guiseley",11.1,"",289,R,"",Greenfield,"Green Belt site.  The site is not well connected to the urban area, and would not constitute rounding off of the settlement. As such development would represent urban sprawl.  The site has access constraints.",419801,442510
1311B,"Coach Road (land to the south of) , Guiseley",1.2,"",38,R,"",Greenfield,Green Belt site. The site has been split in two as the southern section is considered unsuitable for development.   Development of site B would extend further into the green belt and not relate well to the existing settlement pattern.,419237,441119
1326,"Town End (land at), Carlton, Yeadon  LS19",13.4,"",301,P,"",Greenfield,Not within settlement hierarchy,421859,443241
2118,"Haw Lane, Yeadon",2.3,"",60,R,"",Greenfield,This site is designated as a Village Green and so is not considered suitable for development.,420857,441609
2119,"Canada Road, Rawdon",1.1,"",34,R,"",Greenfield,"Whilst the site is considered to be well related to the urban area,  Highways object to development of the site due to poor visibility of site access.",421428,439971
2160,"Scotland Lane, Ling Bob, Horsforth",72.9,"",0,R,"",Mixed,Green Belt site. The site is not supported by Highways and development would lead to urban sprawl.,423998,440140
2161,"Westfield Mount (west of), Yeadon",3.2,"",83,R,"",Greenfield,Part Green Belt.  The site has no road frontage and would require the development of the adjoining SHLAA site 2038 for access purposes. The western section of the site is a designated Site of Special Scientific Interest (SSSI) and could not be developed. The eastern section is covered in dense trees and is also considered unsuitable.,419418,440796
2162,"Warm Lane (north of), Yeadon",2.8,"",72,A,"",Greenfield,Significant public objection.  Proposed conservation area issues,420126,440269
2163B,"Park Road (South of) Sodhall Hill, Guiseley",13,"",76,R,"",Greenfield,Green Belt site.  The site has been split in two as the southern section is considered unsuitable for development due to Highways concerns and the fact that development would not be well related to the existing settlement pattern.  The quality of the road network would prevent a large development (both A and B) in this area.,418846,441135
3028,"Kelcliffe Lane, Guiseley",11.5,"",396,R,"",Mixed,"Green Belt site.  Visible location above the urban area.  Development would constitute urban sprawl, unrelated to the existing settlement pattern.  Highways issues regarding access.",419100,442786
3030,"Banksfield Crescent, Yeadon",3.8,"",101,R,"",Greenfield,Green Belt site.  Part of the site also falls within the designated Village Green. Development of the site in isolation would be unrelated to the existing settlement pattern and constitute urban sprawl.,420833,441738
3031,"Land Behind 1-19 Westfield Oval, Yeadon",1.3,"",41,R,"",Mixed,"Green Belt site, not particularly well related to the existing settlement pattern.  Highways concerns re access - adoptable highway not considered achievable.",419550,440546
3033,Land to east of Apperley Lane,8.2,"",214,A,"",Mixed,Significant public objection.  Proposed conservation area issues.,420267,439979
3034,"Cold Harbour Farm, Bayton Lane, Yeadon",74.6,"",0,R,"",Greenfield,"Green Belt site. The site covers the area commonly known as Rawdon Billings and envelopes Billing Hill, a protected nature area. The site is large and development would have a serious impact on the openness of the Green Belt and result in a large area of urban sprawl. The site is not supported by Highways.",421945,439941
3326,"Land at Rawdon, Leeds",7.6,"",200,R,"",Greenfield,Green Belt site.  The site contains a Site of Ecological or Geological Interest (SEGI) and is not considered suitable for development.The area not covered by a SEGI is separated from the settlement and given the sensitive nature of the area development is not considered appropriate.,421966,440811
5151,Land N of Holmehurst off Apperley Lane Rawdon,1.2,"",37,NonIO,"",Greenfield,"A Green Belt site located within Cragg Wood Conservation Area. Whilst there are existing properties located in proximity to the site which lie within the Green Belt boundary, development of the site would create an irregular Green Belt boundary potentially leading to further urban sprawl and narrowing the gap between Leeds and Bradford.",420335,439372
5152,Land S of Holmehurst off Apperley Lane Rawdon,3.1,"",82,NonIO,"",Greenfield,"A Green Belt site located within Cragg Wood Conservation Area. Whilst the site lies adjacent to existing properties within the Green Belt, designating the site would create a site separated from the existing built up area and create an irregular Green Belt boundary leading to further potential urban sprawl and narrowing the gap between Leeds and Bradford.",420230,439173
182,"Springfield Mount (19), Woodhouse LS2 9NG",0.1,"",7,LG,City Centre Infill,Brownfield,Identified site with permission.,429170,434337
204,Hanover Square (32)  LS3 1AW,0,"",7,LG,City Centre Infill,Brownfield,Identified site with planning permission,429093,433934
394,New York Road - Crispin House  LS2,0.1,"",85,LG,City Centre Infill,Brownfield,Residential conversion completed after the base date of the plan - April 2012.,430510,433955
395,The Calls (36),0,"",14,LG,City Centre Infill,Brownfield,Planning permission for 14 flats.,430489,433258
406,Manor Road (16-18)  LS11,0.1,"",57,G,City Centre Infill,Brownfield,"Holbeck Urban Village location suitable for residential development.  Planning permission in 2006 preferred residential above ""A"" uses, with no B1 office.",429703,432689
407,Manor Road  LS11,1.9,"",748,G,City Centre Infill,Brownfield,Previous permission being revised to accord with current planning application proposal for high density apartment scheme.,429803,432624
HLA2005280,"Algernon Firth Building, LGI, Thoresby Place Leeds",0.2,"",43,NonIO,City Centre Infill,Brownfield,Student housing scheme recently completed,,
2029,Leeds Metropolitan University  LS1 3HE,1.7,"",119,G,City Centre Infill,Brownfield,Site available with planning permission,429804,434238
3018,4 St Peters Place Leeds LS9,0,"",18,LG,City Centre Infill,Brownfield,Residential conversion permitted.,430861,433491
3138,3-4 Blenheim Terrace LS2,0.1,"",1,LG,City Centre Infill,Brownfield,Permitted scheme.,429759,434552
3139,25-27 Hyde Terrace LS1,0.1,"",11,LG,City Centre Infill,Brownfield,Permitted scheme,429082,434277
3140,23 Hyde Terrace LS2,0,"",6,LG,City Centre Infill,Brownfield,Permitted scheme,429100,434265
3141,40 Clarendon Road LS2,0.1,"",6,LG,City Centre Infill,Brownfield,Permitted scheme,429033,434261
3160,29-31 Hyde Park Terrace LS2,0.1,"",6,LG,City Centre Infill,Brownfield,Permitted scheme,429061,434292
3307,Leeds Metropolitan University  LS1 3HE,1.4,"",199,LG,City Centre Infill,Brownfield,Permitted scheme largely complete,429746,434312
3337,"29 Kirkgate and 18 New York Street, Leeds LS2",0,"",8,LG,City Centre Infill,Brownfield,Permitted scheme,430501,433431
3338,"8 Springfield Mount, Leeds LS2 9ND",0,"",9,LG,City Centre Infill,Brownfield,Permitted scheme,429220,434380
3339,"20-28 Hyde Terrace, Leeds LS2 9LN",0.1,"",27,LG,City Centre Infill,Brownfield,Permitted scheme,429222,434253
3340,"65 Clarendon Road, Leeds, LS2 9NZ",0.1,"",12,LG,City Centre Infill,Brownfield,Permitted scheme,428984,434213
3347,"15-19 Hyde Terrace, Leeds, LS2 9LT",0.1,"",14,LG,City Centre Infill,Brownfield,Permitted scheme,429134,434242
3460,Black Bull Street,0.1,"",26,NonIO,City Centre Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,430451,432790
4180,"31 Clarendon Road, LS2 9NZ",0.1,"",10,NonIO,City Centre Infill,Brownfield,Permitted scheme,429158,434146
4181,"44 Claredon Road, LS2 9PJ",0,"",5,NonIO,City Centre Infill,Brownfield,Permitted scheme,429024,434287
4183,"74 New Briggate, LS1",0.1,"",7,NonIO,City Centre Infill,Brownfield,Permitted scheme,430409,433917
4190,"Forsyth House, 5 South Parade, City Centre",0,"",13,NonIO,City Centre Infill,Brownfield,Permitted scheme,429852,433753
4195,"Pennine House, LS1 5RN",0.1,"",112,NonIO,City Centre Infill,Brownfield,Permitted scheme,429864,433640
5103,"63 Great George Street, Leeds, LS1 3bb",0,"",5,NonIO,City Centre Infill,Brownfield,Permitted scheme,429584,433947
5104,"18 Queen Square, Leeds, LS2",0,"",7,NonIO,City Centre Infill,Brownfield,Permitted scheme,430103,434234
5108,"First And Second Floors And Loft Space, 46-48 New York Street",0,"",7,NonIO,City Centre Infill,Brownfield,Permitted scheme,430637,433432
5115,"22-23 Blenheim Terrace, Leeds, LS2 9HD",0.1,"",9,NonIO,City Centre Infill,Brownfield,Permitted scheme,429643,434667
5122,17 Regent Street Sheepscar,0.2,"",73,LG,City Centre Infill,Brownfield,Permitted scheme,430820,434200
5156,"Clarendon House, 20 Clarendon Road",0.2,"",24,NonIO,City Centre Infill,Brownfield,Permitted scheme,429192,434200
5157,"6 - 12 Lands Lane, LS1 6LD",0.1,"",18,NonIO,City Centre Infill,Brownfield,Permitted scheme,430184,433609
HLA2005090,"36 Clarendon Road, Woodhouse, Leeds, LS9 9NZ",0.1,"",7,LG,City Centre Infill,Brownfield,Permitted scheme,,
181,Sweet Street West (20) - Management Archives,0.5,"",140,LG,City Centre Infill,Brownfield,"Outline permission in 2010 for mixed use development comprising 140 flats, 1,850sqm of offices and 140sqm of A1.",429494,432608
202,Silver Street - Midland Mills  LS11 9YW,0.4,"",15,LG,City Centre Infill,Brownfield,Suitable for mixed office/residential development.  Permission granted in 2010 to convert and extend the listed mill building with 3112sqm offices and 15 flats.,429339,432791
205,"Granary Wharf Car Park, off Water Lane  LS11 5PS",0.4,"",68,LG,City Centre Infill,Brownfield,"Suitable for mixed residential/office development. Planning permission was given in 2008 and renewed in 2011 for 68 flats, 6,800sqm of offices and 650sqm of A3/A4 use.",429659,432999
402,Cropper Gate - Mayfair LS1,0.2,"",272,LG,City Centre Infill,Brownfield,"Suitable city centre site for office/residential development.  Planning permission granted in 2009 (20/283/04/FU) for 266 dwellings with 3,620sqm of office space",429170,433556
405,Globe Road - Tower Works  LS10,1.1,"",134,LG,City Centre Infill,Brownfield,Very accessible central site.  Site suited to office and residential development.  Office development largely completed prior to the base-date of the Plan.  A more recent change of use for 141sqm remains to be completed.,429583,433000
409,Bath Road  LS11,1,"",240,G,City Centre Infill,Brownfield,Suitable site for mixed office/residential development with planning permission.,429425,432799
423,Whitehall Road - Aireside,1.5,"",600,LG,City Centre Infill,Brownfield,"Outline planning permission anticipates 600 dwellings within a predominantly office area.  The site adjacent to the river would be more attractive for residential development, but with offices at lower floor levels.",429216,433255
445,Jack Lane / Sweet Street  LS10,2.9,"",296,G,City Centre Infill,Brownfield,"Site is suitable and available for a mixed use development with residential, offices, leisure and ""A"" uses.  It has lapsed permission for a large mixed use scheme 95570 for office, 3982 for A uses, 31760 for leisure and 296 apartments.",429808,432414
450,Globe Road / Water Lane  LS11,1.8,"",263,LG,City Centre Infill,Brownfield,"Suitable and available development site, with temporary car park permissions due to expire 2017.  Mixed use comprises of 263 dwellings plus office floorspace of 18720sqm (taken from overlapping employment sites 2004680 (10660sqm) and 2004545 (8060sqm).",429426,432967
454,Portland Crescent  LS1,0.9,"",50,LG,City Centre Infill,Brownfield,"Site has outline planning permission from 2007 which is still live by virtue of phase 1 being completed.  This site is covered by phase 2 of the planning permission which anticipates between 2500 and 7000sqm of office space along with floorspace for 50 dwellings and hotel space.  As per Issues and Options, assume 4000sqm for offices in a mixed use allocation",429893,434185
458,Sweet Street West (Land South of) Holbeck,3.1,"",830,LG,City Centre Infill,Brownfield,"Suitable and appropriate site for mixed use development on the edge of Leeds city centre with outline planning permission.  Includes residential, office and 0.3ha of general employment land.",429479,432495
3017,St Peters church & house,0.3,"",35,A,City Centre Infill,Brownfield,Permission granted for mixed residential office scheme.,430665,433262
5123,"30 Sovereign Street, Leeds, LS1 4BA",0,"",5,LG,City Centre Infill,Brownfield,Suitable building for mixed office/residential conversion with permission granted in 2010,430178,433138
412,East Street Mills LS9,0.5,"",7,AV,City Centre Infill,Brownfield,"",431087,433077
419,Marsh Lane - The Gateway  LS9,1.8,"",110,AV,City Centre Infill,Brownfield,"",430900,433237
438,Richmond Street LS9,0.6,"",195,AV,City Centre Infill,Greenfield,"",431036,433189
1078,Marsh Lane/ Saxton Lane LS9,0.2,"",80,LG,City Centre Infill,Brownfield,"",430993,433385
4081,"Former Leeds College of Technology, East Street",0.2,"",27,AV,City Centre Infill,Brownfield,"",431051,433116
421,Leylands Road  LS2,0,"",35,NonIO,City Centre Infill,Brownfield,Remaining plot at the eastern end of Concord St flats is available and suitable for residential development.,430761,434195
426,Aire Street (49)  LS1,0,"",6,G,City Centre Infill,Brownfield,Suitable for residential development and there has been interest expressed in the past.,429724,433382
429,The Headrow - Pearl Chambers  LS1,0.1,"",24,A,City Centre Infill,Brownfield,Upper floors of corner building would be suitable for residential conversion.  Active development interest.,429810,433761
446,Great George Street (57),0,"",7,NonIO,City Centre Infill,Brownfield,Suitable for upper floor conversion to residential use.,429612,433945
1082,"Manor Road - Manor Court, Holbeck  LS11",0.1,"",39,G,City Centre Infill,Brownfield,Suitable site in Holbeck Urban Village with owner/developer interest.,429627,432678
2006,North Street (59) - Caspar building and Centenary House LS2,0.7,"",157,G,City Centre Infill,Brownfield,Existing housing vacant for many years due to structural design fault.  Suitable site for residential redevelopment,430456,434054
2008,Crown Street - White Cloth Hall  LS2,0.1,"",5,G,City Centre Infill,Brownfield,Suitable site for conservation led refurbishment and redevelopment with ground floor retail and upper floor residential.,430441,433413
2015,Bath Road West,0.6,"",203,G,City Centre Infill,Brownfield,Suitable and available cleared housing site within Holbeck Urban Village.,429346,432634
2016,Bath Road East,0.6,"",174,G,City Centre Infill,Brownfield,Suitable and available cleared housing site within Holbeck Urban Village.,429411,432637
2018,Silver Street/ Midland Mills North,0.3,"",86,G,City Centre Infill,Brownfield,Underdeveloped Holbeck Urban Village site with repair garage and parking.  Suitable and available for housing development.,429345,432843
2019,Silver Street/ Midland Mills South,0.6,"",179,G,City Centre Infill,Brownfield,Underdeveloped Holbeck Urban Village site with temporary car parking and single storey buildings.  Suitable and available for housing development.,429314,432733
2021,Water Inn Car Park,0.2,"",62,G,City Centre Infill,Brownfield,Highly accessible surface car park site suited to housing development.,429565,432946
3157,"Brandon Road, LS3",0.2,"",72,G,City Centre Infill,Brownfield,Suited to residential flats scheme.  Permission lapsed for 72 flats.,429226,434004
5015,"Kendall Carr, Hanover Mount, Woodhouse",0.2,"",12,NonIO,City Centre Infill,Brownfield,Suitable small site for residential development at the northern end of Hanover Square.,429026,434066
5019,"Holbeck Day Centre, Holbeck Moor Road, Holbeck",0.2,"",14,NonIO,City Centre Infill,Brownfield,Suitable site for housing development within 1970s housing estate.,429491,432102
187,Westgate - Brotherton House  LS1 2RS,0.3,"",63,G,City Centre Infill,Brownfield,Suitable for conversion to residential with lower floor offices.  Development interest expressed.,429427,433717
200,Quarry Hill,3,"",705,G,City Centre Infill,Brownfield,Suitable for mixed use development with residential and office development.  Quantity of apartments and offices reflects recent planning application.,430863,433657
216,"Criterion Place, Sovereign Street",1.1,"",210,NonIO,City Centre Infill,Brownfield,Suitable site for office and residential.  One office block was completed in 2014 to the western end of the site.  Another office block is under construction to the eastern end of the site.  The remaining central plot is preferred for a high rise residential scheme.,430071,433149
225,Water Lane - Westbank,2.2,"",288,A,City Centre Infill,Brownfield,"Site suitable for mixed office/residential scheme.  Very accessible city centre site.  Flood risk will be considerably improved by completion of the Leeds Flood Alleviation Scheme.  Expect 20,790sqm of offices and 288 dwellings.",429765,432867
230,Westgate - Leeds International Swimming Pool,1.3,"",209,G,City Centre Infill,Brownfield,Suitable central site for offices and residential.,429353,433637
411,York Street  LS1,0.3,"",18,G,City Centre Infill,Brownfield,Suitable site for office at ground floor level and residential at upper floor levels.,430918,433536
415,High Court  LS1,0.1,"",9,G,City Centre Infill,Brownfield,Existing buildings suitable for conversion to office and residential.  Current application for 9 flats and 707sqm of office space 14/05054/FU,430602,433294
420,Park Row (8),0.1,"",75,A,City Centre Infill,Brownfield,Suitable for conversion to residential development with offices at lower floor levels.  Residential development interest shown through lapsed permission 20/324/00/FU.,429955,433612
431,The Calls (38),0,"",14,G,City Centre Infill,Brownfield,Suitable for conversion to residential with offices at ground floor level.,430504,433252
443,Skinner Lane - Jayco House  LS7,0.2,"",106,G,City Centre Infill,Brownfield,Suitable for office residential mix.  Available on expiration of temporary permission for car park in February 2017 or before.  Based on recent permission small office space of 247sqm would be delivered.,430750,434253
449,Duncan Street (7),0,"",15,G,City Centre Infill,Brownfield,Opportunity for upper floor conversion to provide office floorspace and dwellings.,430273,433415
456,The Calls (rear 2-28)  LS2,0.4,"",74,LG,City Centre Infill,Brownfield,"Suitable and available,  site is subject to a 2014 planning application for mixed use residential and office space (600sqm).",430396,433260
1009,"Marshall Street - 1953 Building, Holbeck",0.6,"",187,G,City Centre Infill,Brownfield,Suitable location for mixed office/residential development,429564,432615
1010,"Bridge Street, Baker House",0.2,"",63,A,City Centre Infill,Brownfield,Suitable city centre location for mixed use scheme with office at ground floor level adjacent to A64 and apartments on upper floors.,430635,433932
2001,St Peters Square,0.1,"",49,G,City Centre Infill,Brownfield,Suitable site for infill development with offices at ground floor  and residential at upper floor levels.,430824,433485
2004,North Street - Leeds College of Building,0.9,"",180,A,City Centre Infill,Brownfield,City centre site suitable for office and residential development.,430692,434170
2023,Wellington Street - YEP LS1 1RF,1.9,"",200,G,City Centre Infill,Brownfield,Highly visible landmark site on the western side of the city centre  suited to mixed office/residential development with greenspace and supporting uses.,429075,433430
2028A,Great George Street - LGI,4.3,"",372,A,City Centre Infill,Brownfield,Health trust expects to dispose of older buildings on site including the Gilbert Scott and Brotherton wings which are covered by site 2028A.  Site would be suited to part conversion to conserve the listed elements and part redevelopment to provide a mix of residential and office space.,429682,434066
2031,Water Lane Railway Triangle,1,"",171,G,City Centre Infill,Brownfield,Site suited to high-rise mixed office apartment scheme.  Limited access from the south will require investment.,429244,432881
5167,Wellington Plaza Wellington Street Leeds,"","",10,NonIO,City Centre Infill,Brownfield,Development interest expressed for residential redevelopment with a small amount of office space.  Such development would have policy support in this location.,429475,433433
231,Kirkgate Phase II,0.3,"",65,G,City Centre Infill,Brownfield,Suitable site for development involving restoration of shopping parade and redevelopment to provide retail and housing. Office provision not preferred.,430486,433386
410,Regent Street / Skinner Lane  LS2,0.2,"",67,G,City Centre Infill,Brownfield,"Cleared site with development interest for ground floor ""A"" uses and upper floor residential scheme.",430822,434234
