Allocation Ref,SHLAA Refs,Address,Capacity,Completed post-2012, Under construction,Not started,Area HA,Green/Brown,Status
MX1-18,181,Sweet Street West (20) - Management Archives,140,0,0,140,,,Draft
MX1-19,458,Sweet Street West (Land South of) Holbeck,830,0,0,830,,,Draft
MX1-20,445,Jack Lane / Sweet Street LS10,296,0,0,296,,,Draft
MX1-21,415,"Site of 1 and 6 Church Row, Leeds",9,0,0,9,,,Draft
MX1-22,443,"Site of former Jayco House Car Park, Skinner Lane, Sheepscar, Leeds",106,0,0,106,,,Draft
MX1-23,456,"Site of 20 and Land rear of 14 and 16 The Calls, Leeds",77,0,0,77,,,Draft
MX1-24,2023,"Former site of Yorkshire Evening Post bounded by River Aire and Wellington Bridge Street, Wellington Street, Leeds",204,0,0,204,,,Draft
HG2-187,3157,"Brandon Road, LS3",72,,,,0.2,Brownfield,Draft
HG2-188,446,Great George Street (57),7,,,,0,Brownfield,Draft
HG2-189,2006,North Street (59) - Caspar building and Centenary House LS2,220,,,,0.7,Brownfield,Draft
HG2-190,421,Leylands Road LS2,9,,,,0,Brownfield,Draft
HG2-191,426,Aire Street (49) LS1,6,,,,0,Brownfield,Draft
HG2-193,2021,Water Lane Car Park,62,,,,0.2,Brownfield,Draft
HG2-194,2018,Silver Street/ Midland Mills North,86,,,,0.3,Brownfield,Draft
HG2-195,2019,Silver Street/ Midland Mills South,179,,,,0.6,Brownfield,Draft
HG2-196,2015,Bath Road West,154,,,,0.6,Brownfield,Draft
HG2-197,2016,Bath Road East,174,,,,0.6,Brownfield,Draft
HG2-198,1082,"Manor Road - Manor Court, Holbeck LS11",39,,,,0.1,Brownfield,Draft
HG2-199,5019,"Holbeck Day Centre, Holbeck Moor Road, Holbeck",14,,,,0.2,Brownfield,Draft
HG2-202,5196,Criterion Place North,210,,,,0.4,Brownfield,Draft
MX2-15,2028A,Great George Street - LGI,372,,,,4.3,Brownfield,Draft
MX2-16,1010,"Bridge Street, Baker House",63,,,,0.2,Brownfield,Draft
MX2-17,2004,North Street - Leeds College of Building,180,,,,0.9,Brownfield,Draft
MX2-18,410,Regent Street / Skinner Lane LS2,72,,,,0.2,Brownfield,Draft
MX2-19,230,Westgate - Leeds International Swimming Pool,209,,,,1.3,Brownfield,Draft
MX2-20,187,Westgate - Brotherton House LS1 2RS,63,,,,0.3,Brownfield,Draft
MX2-22,2001,St Peters Square,49,,,,0.1,Brownfield,Draft
MX2-23,200_411,Quarry Hill/York Street Leeds,600,,,,3.3,Brownfield,Draft
MX2-25,449,Duncan Street (7),15,,,,0,Brownfield,Draft
MX2-26,231,Kirkgate Phase II,65,,,,0.3,Brownfield,Draft
MX2-27,2007,Wharf Street,14,,,,0,Brownfield,Draft
MX2-29,431,The Calls (38),14,,,,0,Brownfield,Draft
MX2-30,2031,Water Lane Railway Triangle,171,,,,1,Brownfield,Draft
MX2-31,1009,"Marshall Street - 1953 Building, Holbeck",187,,,,0.6,Brownfield,Draft
MX2-32,225,Water Lane - Westbank,288,,,,2.2,Brownfield,Draft
HG1-278,5124,Pepper Road LS10,2,"",0,"",,,Draft
HG1-284,795,Red Hall Lane LS17,300,0,0,300,,,Draft
HG1-285,807,Red Hall Lane - Strikes LS17,20,20,0,0,,,Draft
HG1-286,3227,"Naburn Approach, LS14",4,4,0,0,,,Draft
HG1-287,796,York Road - Grime's Dyke LS14,369,41,112,216,,,Draft
HG1-288,797,East Leeds Extension,3771,0,0,4325,,,Draft
HG1-289,5140,FARNDALE VIEW(PFI K) LS14,10,10,0,0,,,Draft
HG1-290,802,Swarcliffe Avenue - PFI E LS14,25,3,18,4,,,Draft
HG1-291,799,Whinmoor Way - PFI C LS14,116,109,7,0,,,Draft
HG1-292,3219,"Ash Tree Grove, (PFI F) LS14",13,13,0,0,,,Draft
HG1-293,804,Mill Green Garth - PFI L1 LS14,5,2,0,3,,,Draft
HG1-294,4086,"Squinting Cat, Swarcliffe Avenue",18,0,0,18,,,Draft
HG1-295,803,Elmete Towers - PFI Q LS14,30,30,0,0,,,Draft
HG1-296,2154,Seacroft Hospital (rear of),720,0,0,720,,,Draft
HG1-297,281,Manston Lane - Radial Park (Ph 1),148,107,29,12,,,Draft
HG1-298,282,Manston Lane,192,51,20,121,,,Draft
HG1-300,4191,"Land At Brooksbank Drive, Halton",6,4,0,2,,,Draft
HG1-301,4219,"Land rear of 22 Barrowby Lane, Austhorpe, Leeds",14,0,0,14,,,Draft
HG1-302,353,"Barrowby Lane (30-34), Austhorpe LS15 8QE",11,11,0,0,,,Draft
HG1-303,2144A,"Cartmell Drive, Halton Moor",31,0,0,31,,,Draft
HG1-311,2040,"Bullerthorpe Lane (Temple Point), Colton",17,17,0,0,,,Draft
MX1-25,2039,"Land bounded by Park Approach and Barrowby Lane off Manston Lane, Manston, Leeds",300,0,0,300,,,Draft
HG2-104,4123,York Road / Selby Road,12,,,,0.9,Brownfield,Draft
HG2-119,2062,Red Hall Offices & Playing Field LS17,50,,,,13.9,Greenfield,Draft
HG2-120,1297,"Manston Lane - former Vickers Tank Factory Site, Cross Gates",450,,,,21.5,Brownfield,Draft
HG2-121,267,Killingbeck Bridge - Wykebridge Depot LS14,23,,,,0.6,Brownfield,Draft
HG2-122,2144B,"Cartmell Drive, Halton Moor",170,,,,5.7,Greenfield,Draft
HG2-123,2090A,"Colton Road East, Colton LS15",165,,,,6.2,Greenfield,Draft
HG2-174,1359,Wood Lane - Rothwell Garden Centre LS26,31,,,,3.2,Mix 50:50,Draft
HG1-207,383,Beckhill Garth/Approach,34,0,"",0,,,Draft
HG1-208,5161,Grove Park Care Home Grove Lane Meanwood,0,,,,77,77,Draft
HG1-209,3306,"Scott Hall Square, Chapel Allerton",24,24,0,"",,,Draft
HG1-210,2147A,"Askets and Boggarts (A), Seacroft",24,0,0,"",,,Draft
HG1-211,2147C,"Askets and Boggarts (C), Seacroft",114,0,0,"",,,Draft
HG1-212,4185,"Boggart Hill Gardens, Seacroft",18,10,0,"",,,Draft
HG1-213,5141,BOGGART HILL LS14,24,0,0,"",,,Draft
HG1-214,3165,66 to 68 Victoria Road Headingley,6,0,0,6,,,Draft
HG1-215,HLA2600290,Ash Grove LS6,16,12,4,0,,,Draft
HG1-216,3137,Leeds Girls High School,82,0,0,82,,,Draft
HG1-217,4178,"6 Grosvenor Mount, Leeds",7,0,0,7,,,Draft
HG1-218,HLA2603650,7 Grosvenor Road LS6,7,3,4,0,,,Draft
HG1-219,HLA3402390,Chapeltown Rd/Savile Road LS7,22,0,0,22,,,Draft
HG1-220,5109,"Browning House, 126 Chapeltown Road, Chapeltown",9,0,0,9,,,Draft
HG1-221,HLA3402670,"2 Grange View, Chapeltown, Leeds, LS7 4EP",6,6,0,0,,,Draft
HG1-222,3206,"Din Buildings, Roundhay Road, LS8 3QD",8,0,0,8,,,Draft
HG1-223,842,Coldcotes Thorn Walk LS9,51,27,24,0,,,Draft
HG1-224,841,Oak Tree Drive LS8,77,52,0,25,,,Draft
HG1-225,2150D,"South Parkway and Brooklands, Seacroft",45,0,0,45,,,Draft
HG1-226,2150B,South Parkway / Brooklands Avenue,160,0,0,160,,,Draft
HG1-227,815,South Parkway - Easel LS14,106,12,10,84,,,Draft
HG1-228,4235,"Leslie Terrace, Woodhouse",18,0,0,18,,,Draft
HG1-229,3346,"Former Bricklayers Arms, Low Close Street, Woodhouse",6,6,0,0,,,Draft
HG1-230,188,"St Marks Walk - St Marks Flats, Woodhouse",108,80,28,0,,,Draft
HG1-231,5192,"Holborn Court, Woodhouse, Leeds, LS6 2PN",17,0,0,17,,,Draft
HG1-232,3345,"Servia Road, Leeds LS7 1NJ",72,0,0,72,,,Draft
HG1-233,3342,LS9 6PQ,12,12,0,0,,,Draft
HG1-234,846,Killingbeck Hospital - C LS14,156,70,57,29,,,Draft
HG1-235,HLA2603660,Royal Park Road LS6,9,0,9,0,,,Draft
HG1-236,HLA2602860,Moorland Avenue LS6,15,0,0,15,,,Draft
HG1-237,HLA2603800,"25 MOORLAND AVENUE, WOODHOUSE, LEEDS, LS6 1AP",6,0,0,6,,,Draft
HG1-238,620,Cardigan Road (214-244) LS4,65,0,0,65,,,Draft
HG1-239,3149,"Carlton Gate, LS7",113,5,52,56,,,Draft
HG1-240,HLA2603490,18A-20 Burley Lodge Road LS4,6,4,2,0,,,Draft
HG1-241,HLA2603180,114 Burley Road LS4,9,0,0,9,,,Draft
HG1-242,1144,St Johns Road - St Michaels College LS3,459,0,0,459,,,Draft
HG1-243,HLA2603100,12-28 Westfield Road LS3,24,0,0,24,,,Draft
HG1-244,2026,Cavendish Street - RSPCA,70,0,0,70,,,Draft
HG1-245,2138,"Kirkstall Road, Abbey Street",50,0,0,50,,,Draft
HG1-246,414,Skinner Lane LS9,286,0,0,286,,,Draft
HG1-247,197,"Bridge Street, Gower Street, Regent Street (land at)",636,0,0,636,,,Draft
HG1-248,HLA2000030,St Mary's Lane LS 9,6,0,0,6,,,Draft
HG1-249,5150,"Dog and Gun, 601 York Road Leeds",7,0,0,7,,,Draft
HG1-250,HLA2405240,Theaker Lane LS12,17,0,0,17,,,Draft
HG1-251,1338,"Mistress Lane, Armley",41,0,0,41,,,Draft
HG1-252,3354,"Oak Road, Armley",9,0,0,9,,,Draft
HG1-253,1340A,"Oak Road, New Wortley - Former Club",6,0,0,6,,,Draft
HG1-254,5148,Otter Island Wellington Road Leeds,113,0,113,0,,,Draft
HG1-255,806,"East Park Road, The Glensdales LS9",32,0,14,18,,,Draft
HG1-256,465,Waterloo Sidings LS9,140,0,0,140,,,Draft
HG1-257,2141A,"Wykebeck Avenue, Osmondthorpe",55,0,0,55,,,Draft
HG1-258,259A,"Cartmell Drive, Whitebridge Primary School, Halton Moor",44,7,10,27,,,Draft
HG1-259,HLA2405110,236 Tong Road LS12,9,0,0,9,,,Draft
HG1-260,HLA2104920,"Kings Arms, Stocks Hill, Holbeck, Leeds, LS11 9PB",9,9,0,0,,,Draft
HG1-261,3146,"Holbeck Towers, LS11",108,0,91,17,,,Draft
HG1-262,HLA2104210,65 Brown Lane East LS11,3,0,0,3,,,Draft
HG1-263,379,Runswick Place LS11,42,16,26,0,,,Draft
HG1-264,HLA2104940,"86 Elland Road, Holbeck, Leeds, LS11 0AB",8,0,0,8,,,Draft
HG1-265,3144,"Fairfax Road, LS11",21,0,0,21,,,Draft
HG1-266,3195,"St Luke's Green, LS11",19,0,2,17,,,Draft
HG1-267,476,Beeston Road - Shaftesbury House LS11,8,7,1,0,,,Draft
HG1-268,3204,"Coupland Road, LS11",10,10,0,0,,,Draft
HG1-269,3193,"Folly Lane, LS11",18,18,0,0,,,Draft
HG1-270,HLA2104790,"137 DEWSBURY ROAD, HUNSLET, LEEDS, LS11 5NN",8,7,1,0,,,Draft
HG1-271,3142,"Malvern Rise, LS11",60,0,0,60,,,Draft
HG1-272,3194,"Malvern Road, LS11",21,21,0,0,,,Draft
HG1-273,HLA2104610,Coupland Place LS11,8,8,0,0,,,Draft
HG1-274,3147,"Waverley Garth, LS11",55,0,0,55,,,Draft
HG1-275,3145,"Bismarck Street, LS11",70,0,0,70,,,Draft
HG1-276,381,Beverleys LS11 6DS,55,55,0,0,,,Draft
HG1-277,HLA2104950,"272A Dewsbury Road, Hunslet, Leeds, LS11 6JT",5,0,0,5,,,Draft
HG1-278,5124,Pepper Road LS10,12,0,0,12,,,Draft
HG1-279,3343,"Belle Isle, Leeds",16,16,0,0,,,Draft
HG1-280,473,West Grange Road (Ph 2) LS10,35,0,0,35,,,Draft
HG1-281,474,Middleton Road - Urn Farm LS10,100,0,0,100,,,Draft
HG1-282,500,Sharp Lane F,69,69,0,0,,,Draft
HG1-283,503,Sharp Lane C,43,43,0,0,,,Draft
HG1-303,2144A,"Cartmell Drive, Halton Moor",31,0,0,31,,,Draft
HG1-357,502,Sharp Lane B,78,56,14,8,,,Draft
MX1-6,208,"Mabgate, Macaulay Street, Argyll Road (land between)",428,0,0,428,,,Draft
MX1-11,447,Whitehall Road - Doncasters LS12,463,0,0,463,,,Draft
MX1-12,433,Globe Road - Doncasters/Lattitude LS11,609,0,0,609,,,Draft
HG2-85,262,"Beckhill Approach, Miles Hill Primary School, Meanwood",79,,,,2.3,Mix 50:50,Draft
HG2-86,263,"Beckhill Grove - former Hill Top Public House, Meanwood",14,,,,0.5,Mix 50:50,Draft
HG2-87,817,Amberton Terrace,43,,,,1.6,Brownfield,Draft
HG2-88,5017,"Amberton HOP, Thorn Mount, Gipton",20,,,,0.6,Brownfield,Draft
HG2-89,814,Oak Tree Mount LS9,63,,,,2.2,Brownfield,Draft
HG2-90,2146,"Barncroft Close, Seacroft",27,,,,0.7,Brownfield,Draft
HG2-91,2147B,"Askets and Boggarts (B), Seacroft",150,,,,5.4,Greenfield,Draft
HG2-92,2147D,"Askets and Boggarts (D), Seacroft",88,,,,4.4,Greenfield,Draft
HG2-93,4110,Brooklands Avenue,26,,,,0.8,Mix 50:50,Draft
HG2-94,816,York Road Depot/South Parkway LS14,39,,,,0.9,Brownfield,Draft
HG2-95,2150A,"South Parkway and Brooklands, Seacroft",68,,,,1.6,Brownfield,Draft
HG2-96,2150C,"South Parkway and Brooklands, Seacroft",65,,,,1.5,Brownfield,Draft
HG2-97,4117,Moresdale Lane,14,,,,0.4,Greenfield,Draft
HG2-98,4120,Hawkshead Crescent,25,,,,0.8,Greenfield,Draft
HG2-99,125_210,Buslingthorpe Tannery/Hill Top Works Sheepscar,189,,,,3.2,Brownfield,Draft
HG2-100,5014,Gleadhow Road/Gledhow Terrace,25,,,,0.4,Brownfield,Draft
HG2-101,1145A,"Hudson Road, Hudson Mill (Arcadia), Burmantofts",360,,,,11.4,Brownfield,Draft
HG2-103,4060,"Former Shaftesbury PH, York Road",23,,,,0.6,Brownfield,Draft
HG2-104,4123,York Road / Selby Road,20,,,,0.9,Brownfield,Draft
HG2-105,2141B,"Wykebeck Avenue, Osmondthorpe",52,,,,1.4,Greenfield,Draft
HG2-106,2142,"Kendall Drive, Halton Moor",15,,,,0.5,Brownfield,Draft
HG2-107,2143,"Neville Road, Halton Moor",83,,,,2.8,Brownfield,Draft
HG2-108,5020,"Burley Willows Care Home, Willow Garth, Burley",28,,,,0.5,Brownfield,Draft
HG2-109,226,Burley Street (46) LS3 1DH,48,,,,0.1,Brownfield,Draft
HG2-110,1023,"Wesley Road (west of ), Tong Road (north of), Armley",38,,,,1,Greenfield,Draft
HG2-111,3454,Land off Holdforth Place,48,,,,0.8,Brownfield,Draft
HG2-112,1340B,"Oak Road, New Wortley - Gassey Fields",113,,,,2.3,Greenfield,Draft
HG2-113,2027,Round House (rear of),310,,,,1,Brownfield,Draft
HG2-114,3143,"Cambrian Street, LS11",37,,,,0.6,Greenfield,Draft
HG2-116,4125,"Winrose Drive, Middleton",13,,,,0.4,Greenfield,Draft
HG2-117,252,Belle Isle Road - Merlyn Rees High School,67,,,,2.2,Mix 50:50,Draft
HG2-118,4027,"Newhall Gate, Newhall Crescent, Middleton",23,,,,0.6,Greenfield,Draft
HG2-201,1146,"York Road (land south of), East of Pontefract lane, Richmond Hill LS9",121,,,,5.5,Mix 70:30,Draft
MX2-7,CFSM049,"Thomas Danby College, Roundahay Road, Leeds",118,,,,4.8,Brownfield,Draft
MX2-8,278,"Compton Road - Compton Arms, Burmantofts LS9 7B",50,,,,0.4,Brownfield,Draft
MX2-9,"","Kirkstall Road, Leeds",826,,,,7.2,Brownfield,Draft
MX2-10,3408,"Wellington Road, Leeds",325,,,,2.5,Brownfield,Draft
MX2-11,1265,Armley Gyratory - former Gas Works,122,,,,5,Brownfield,Draft
MX2-13,3015,Benyon House,37,,,,2.5,Brownfield,Draft
HG1-58,1199A,"Moseley Wood Gardens (land off), Cookridge LS16",135,0,0,135,,,Draft
HG1-59,3010A,"Land south east of Holt Park Leisure Centre, Holt Park, Leeds",52,0,0,52,,,Draft
HG1-60,685,"Tile Lane - Eastmoor, Adel, LS16",67,0,0,67,,,Draft
HG1-61,5138,505 HARROGATE ROAD LS17,6,6,0,0,,,Draft
HG1-62,5106,"Former Squirrel Way Children's Home, Squirrel Way, Leeds, LS17 8fq",60,0,60,0,,,Draft
HG1-63,3207,"Rear 268-274 Shadwell Lane, LS17",8,5,0,3,,,Draft
HG1-64,5178,"Leeds Trinity University College, Brownberrie Lane, Horsforth, Leeds, LS18 5HD",29,0,0,29,,,Draft
HG1-65,721,"Westbrook Lane, Horsforth",75,0,0,75,,,Draft
HG1-66,720,"Westbrook Lane, Horsforth",15,0,0,15,,,Draft
HG1-67,HLA2701370,Long Row Horsforth,7,0,0,7,,,Draft
HG1-68,688,Silk Mill Drive LS16,20,0,0,20,,,Draft
HG1-69,65,"Low Lane - Woodside Mill, Horsforth",59,0,0,59,,,Draft
HG1-70,689,Cookridge Hospital LS16,495,53,16,426,,,Draft
HG1-71,5190,"Ireland Wood Social Club, Iveson Drive, Lawnswood, Leeds, LS16 6NG",20,0,0,20,,,Draft
HG1-72,1033,"Otley Road, Government Buildings LS16 5PU",130,0,0,130,,,Draft
HG1-73,1299A,"Otley Road - Bodington Hall, Lawnswood LS16",126,10,39,77,,,Draft
HG1-74,687,"Dunstarn Lane, Adel, LS16",28,0,0,28,,,Draft
HG1-75,253,Cranmer Gardens - Moorhaven Residential Home LS17,14,6,8,0,,,Draft
HG1-76,3151,"Queenshill Court, Moortown",6,6,0,0,,,Draft
HG1-77,HLA3002600,468 Harrogate Road LS17,10,0,0,10,,,Draft
HG1-78,1172,"Yorkshire Bank Sports Ground (former), LS17",29,0,11,18,,,Draft
HG1-79,4188,"Former Grosvenor Casino, Harrogate Rd and Street Lane",13,0,13,0,,,Draft
HG1-80,HLA3002640,"467 Street Lane, Roundhay, Leeds",6,0,0,6,,,Draft
HG1-81,HLA3002370,Sutherland Avenue LS8,8,8,0,0,,,Draft
HG1-82,HLA3402690,"3 Park Crescent, Roundhay, Leeds",5,5,0,0,,,Draft
HG1-83,4177,"Park Cottages, Leeds 8",5,5,0,0,,,Draft
HG1-84,4093,"Salmon Crescent / Stanhope Drive, Horsforth",7,0,0,7,,,Draft
HG1-85,HLA2701430,"85 BROADGATE LANE, HORSFORTH, LEEDS, LS18",5,5,0,0,,,Draft
HG1-86,5125,SUMMERFIELD HO OUTWOOD LN HORSFORTH,7,7,0,0,,,Draft
HG1-87,4021,"Site of Horsforth Mills, Low Lane, Horsforth, Leeds",89,0,0,89,,,Draft
HG1-88,8,"Otley Road, Spenfield House LS16",13,0,0,13,,,Draft
HG1-89,764,Woodlea Drive - The Mansion LS6,25,0,0,25,,,Draft
HG1-90,762,Chandos Avenue LS8,1,1,0,0,,,Draft
HG1-91,3341,LS8 2JJ,5,0,5,0,,,Draft
HG1-92,124,"Park Avenue (1) - Beech Lodge, Roundhay",4,4,0,0,,,Draft
HG1-93,3301,"128 Wetherby Road, Roundhay, Leeds, LS8 2JZ",5,0,4,1,,,Draft
HG1-94,5177,"Land At Lakestream House, 142 Wetherby Road, Leeds, LS8 2LF",7,0,0,7,,,Draft
HG1-95,3215,"The Grove, North Lane, LS8",6,6,0,0,,,Draft
HG1-96,34,"Low Hall Road -Riverside Mill, Horsforth LS19",82,0,0,82,,,Draft
HG1-97,1339,"Calverley Lane, Horsforth - Clariant UK Ltd LS18 4RP",331,34,61,236,,,Draft
HG1-98,731,"Victoria Avenue, Horsforth",6,0,0,6,,,Draft
HG1-99,HLA2701470,"Low Fold Garage, New Road Side, Horsforth, Leeds",5,0,0,5,,,Draft
HG1-100,4055,"Former Police Station, Broadway, Horsforth",12,4,8,0,,,Draft
HG1-101,HLA2701410,"Throstle Nest Villa, New Road Side",8,0,0,8,,,Draft
HG1-102,5176,"29 - 31 Moor Road, Headingley, Leeds, LS6 4BG",32,0,0,32,,,Draft
HG1-103,174,"Moor Road (40/42) - University of Leeds, Tetley Hal",68,0,0,68,,,Draft
HG1-104,5188,"13 - 17 Shaw Lane, Meanwood, Leeds, LS6 4DH",31,0,0,31,,,Draft
HG1-105,HLA2603920,"8 Holly Bank, Otley Road, Headingley, Leeds, LS6 4DJ",7,7,0,0,,,Draft
HG1-106,3,Monk Bridge Road (3) LS6,9,0,0,9,,,Draft
HG1-107,5112,"Stratford Court, School Lane, Chapel Allerton",28,0,28,0,,,Draft
HG1-108,845,Mansion Gate Drive - Mansion House LS7,37,0,0,37,,,Draft
HG1-109,HLA3402660,"321 Chapeltown Road, Chapeltown, Leeds, LS7 3LL",6,6,0,0,,,Draft
